kepid,name,label,period,epoch,duration,depth,p_rad
7918992,K02095.01,1,1.434745129,132.62802,0.07758333333333334,200.7,1.5
11308499,K02168.01,1,3.28192056,132.42485,0.12154166666666666,191.0,1.6
11308499,K02168.02,1,12.51610549,135.03333,0.20220833333333332,263.0,1.87
9006186,K02169.01,1,5.45298742,134.15183,0.08886666666666666,86.0,0.92
9006186,K02169.02,1,3.26662733,136.08452,0.08566666666666667,59.9,0.68
7802719,K02247.01,1,4.45743267,132.16006,0.096775,175.7,0.79
11030475,K02248.01,1,2.81814715,132.25336,0.07345833333333332,278.6,1.3
5023956,K00233.01,0,1.824649,147.482662,0.1761875,3218.5,5.31
12401863,K02331.01,1,2.832647249,131.82642,0.09608333333333333,114.7,1.37
5534941,K02332.01,1,3.70063251,133.16065,0.22533333333333333,68.6,1.24
11121752,K02333.01,1,3.93083997,135.19393,0.12216666666666666,101.4,1.2
11121752,K02333.02,1,7.63008196,137.07948,0.11583333333333332,124.0,1.39
2990873,K02335.01,1,16.22378479,136.02454,0.10609166666666665,262.3,1.51
9307509,K02096.01,1,9.76293284,139.15802,0.12766666666666665,553.2,1.94
10158729,K02097.01,1,58.601926,137.66825,0.23008333333333333,396.4,2.06
6105462,K02098.01,1,25.0823402,134.13568,0.267625,244.6,2.26
3120355,K02099.01,1,78.0998908,139.49646,0.35091666666666665,656.9,3.37
6047072,K02100.01,1,4.27103727,133.14028,0.09482916666666666,180.4,1.22
9006186,K02169.03,1,4.27226421,133.21863,0.08804166666666666,48.9,0.64
11410904,K02171.01,1,3.53232429,134.74727,0.11520833333333333,224.2,1.43
5021737,K00026.01,0,15.03946326,144.137461,0.2125333333333333,5237.7,12.36
3862246,K00230.01,0,4.702495974,136.308468,0.0975875,4787.3,37.24
4173026,K02172.01,1,10.44087398,137.97113,0.1559583333333333,821.5,3.41
5350244,K02555.01,1,12.5722897,143.0663,0.19854166666666664,86.5,1.09
5374403,K02556.01,1,40.8366307,152.87346,0.20650000000000002,264.8,1.5
10925113,K02557.01,0,11.7761073,142.70558,0.11787500000000001,281.3,1.31
11769801,K02633.01,0,29.7123181,151.5603,2.9321124999999997,385.4,46.43
